DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/14/2018,11:10,BROOKLYN,11205,40.69338,-73.9559,"(40.69338, -73.9559)",,,895       BEDFORD AVENUE                ,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3881053,SPORT UTILITY / STATION WAGON,BICYCLE,,,
04/14/2018,11:10,BROOKLYN,11211,40.716667,-73.95206,"(40.716667, -73.95206)",WITHERS STREET                  ,UNION AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3881358,SPORT UTILITY / STATION WAGON,,,,
04/14/2018,11:10,QUEENS,11361,40.766857,-73.76269,"(40.766857, -73.76269)",221 STREET                      ,39 AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3880589,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,11:10,QUEENS,11426,40.724194,-73.72509,"(40.724194, -73.72509)",243 STREET                      ,JAMAICA AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,,,3880695,PASSENGER VEHICLE,,,,
04/14/2018,11:15,BROOKLYN,11205,40.69299,-73.95583,"(40.69299, -73.95583)",WILLOUGHBY AVENUE               ,BEDFORD AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3880670,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,11:15,MANHATTAN,10013,40.71747,-74.0107,"(40.71747, -74.0107)",GREENWICH STREET                ,DUANE STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3880467,SPORT UTILITY / STATION WAGON,TAXI,,,
04/14/2018,11:15,,,40.69773,-73.81409,"(40.69773, -73.81409)",VAN WYCK EXPWY                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3882168,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,11:19,BROOKLYN,11215,40.665897,-73.98303,"(40.665897, -73.98303)",,,486       11 STREET                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3880985,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,11:19,,,40.66634,-73.80081,"(40.66634, -73.80081)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3880477,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,11:25,BROOKLYN,11201,40.696198,-73.98869,"(40.696198, -73.98869)",TILLARY STREET                  ,ADAMS STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3881271,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,11:25,,,40.70978,-73.82043,"(40.70978, -73.82043)",VAN WYCK EXPWY                  ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Driver Inattention/Distraction,,,,3881602,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
